YYYY/MM/DD,HH:MM:SS,PM2.5
2024/04/16,03:00:00,55.87
2024/04/16,04:00:00,56.17
2024/04/16,05:00:00,57.19
2024/04/16,06:00:00,57.64
2024/04/16,07:00:00,59.5
2024/04/16,08:00:00,65.42
2024/04/16,09:00:00,77.38
2024/04/16,10:00:00,103.99
2024/04/16,11:00:00,117.3
2024/04/16,12:00:00,125
2024/04/16,13:00:00,123.39
2024/04/16,14:00:00,111.63
2024/04/16,15:00:00,105.89
2024/04/16,16:00:00,112.07
2024/04/16,17:00:00,130.75
2024/04/16,18:00:00,138.58
2024/04/16,19:00:00,120.32
2024/04/16,20:00:00,84.52
2024/04/16,21:00:00,61.05
2024/04/16,22:00:00,54.06
2024/04/16,23:00:00,51.02
2024/04/17,00:00:00,48.69
2024/04/17,01:00:00,47.1
2024/04/17,02:00:00,46.76
2024/04/17,03:00:00,46.63
2024/04/17,04:00:00,47.48
2024/04/17,05:00:00,48.69
2024/04/17,06:00:00,50.85
2024/04/17,07:00:00,56.61
2024/04/17,08:00:00,65.34
2024/04/17,09:00:00,77.71
2024/04/17,10:00:00,103.41
2024/04/17,11:00:00,66.26
2024/04/17,12:00:00,53.97
2024/04/17,13:00:00,47.4
2024/04/17,14:00:00,44.52
2024/04/17,15:00:00,43.13
2024/04/17,16:00:00,39.68
2024/04/17,17:00:00,36.74
2024/04/17,18:00:00,35.16
2024/04/17,19:00:00,33.91
2024/04/17,20:00:00,36.96
2024/04/17,21:00:00,41.9
2024/04/17,22:00:00,47.31
2024/04/17,23:00:00,52.43
2024/04/18,00:00:00,56.26
2024/04/18,01:00:00,58.95
2024/04/18,02:00:00,60.59
2024/04/18,03:00:00,61.84
2024/04/18,04:00:00,63.21
2024/04/18,05:00:00,63.95
2024/04/18,06:00:00,65.44
2024/04/18,07:00:00,69.86
2024/04/18,08:00:00,77.58
2024/04/18,09:00:00,89.41
2024/04/18,10:00:00,117.49
2024/04/18,11:00:00,60.42
2024/04/18,12:00:00,49.79
2024/04/18,13:00:00,45.67
2024/04/18,14:00:00,44.98
2024/04/18,15:00:00,44.64
2024/04/18,16:00:00,40.9
2024/04/18,17:00:00,38.14
2024/04/18,18:00:00,38.59
2024/04/18,19:00:00,39.45
2024/04/18,20:00:00,41.62
2024/04/18,21:00:00,42.8
2024/04/18,22:00:00,42.63
2024/04/18,23:00:00,42.64
2024/04/19,00:00:00,43.75
2024/04/19,01:00:00,44.76
2024/04/19,02:00:00,43.91
2024/04/19,03:00:00,44.06
2024/04/19,04:00:00,46.97
2024/04/19,05:00:00,50.55
2024/04/19,06:00:00,54.16
2024/04/19,07:00:00,60.56
2024/04/19,08:00:00,70.48
2024/04/19,09:00:00,81.14
2024/04/19,10:00:00,101.36
2024/04/19,11:00:00,47.01
2024/04/19,12:00:00,25.22
2024/04/19,13:00:00,16.36
2024/04/19,14:00:00,11.59
2024/04/19,15:00:00,10.31
2024/04/19,16:00:00,11.2
2024/04/19,17:00:00,13.8
2024/04/19,18:00:00,16.7
2024/04/19,19:00:00,19.38
2024/04/19,20:00:00,23.98
2024/04/19,21:00:00,28.02
2024/04/19,22:00:00,31
2024/04/19,23:00:00,32.74
2024/04/20,00:00:00,33.52
2024/04/20,01:00:00,34.6
2024/04/20,02:00:00,36
2024/04/20,03:00:00,37.32
2024/04/20,04:00:00,38.19
2024/04/20,05:00:00,39.23
2024/04/20,06:00:00,41.18
2024/04/20,07:00:00,45.54
2024/04/20,08:00:00,51.81
2024/04/20,09:00:00,65.94
2024/04/20,10:00:00,84.35
2024/04/20,11:00:00,29.08
2024/04/20,12:00:00,16.36
2024/04/20,13:00:00,13.3
2024/04/20,14:00:00,12.18
2024/04/20,15:00:00,12.25
2024/04/20,16:00:00,12.69
2024/04/20,17:00:00,14.38
2024/04/20,18:00:00,15.49
2024/04/20,19:00:00,14.9
2024/04/20,20:00:00,17.01
2024/04/20,21:00:00,22.3
2024/04/20,22:00:00,33.32
2024/04/20,23:00:00,50.36
2024/04/21,00:00:00,63.16
2024/04/21,01:00:00,69.99
2024/04/21,02:00:00,74.06
2024/04/21,03:00:00,75.95
2024/04/21,04:00:00,77.44
2024/04/21,05:00:00,77.97
2024/04/21,06:00:00,79.17
2024/04/21,07:00:00,82.44
2024/04/21,08:00:00,88.11
2024/04/21,09:00:00,101.7
2024/04/21,10:00:00,119.76
2024/04/21,11:00:00,66.32
2024/04/21,12:00:00,50.5
2024/04/21,13:00:00,44.85
2024/04/21,14:00:00,37.3
2024/04/21,15:00:00,26.99
2024/04/21,16:00:00,20.96
2024/04/21,17:00:00,21.36
2024/04/21,18:00:00,25.63
2024/04/21,19:00:00,26.14
2024/04/21,20:00:00,25
2024/04/21,21:00:00,25.26
2024/04/21,22:00:00,26.38
2024/04/21,23:00:00,26.9
2024/04/22,00:00:00,27.24
2024/04/22,01:00:00,28.8
2024/04/22,02:00:00,29.98
2024/04/22,03:00:00,30.91
